text,predicted_department
Pflegefachkraft at St. Josef Hospital Dortmund,Other
freischaffender Künstler at Selbständig,Other
Subcommittee Member at New York State Developmental Disabilities Advisory Employment and Meaningful Activities Subcommittee,Other
Deputy Chief at Superstition Fire & Medical District,Other
Product Manager at TRATON GROUP,Other
OM/Customer Success Manager at Papirfly,Customer Support
Geschäftsführer at MAFRA Maile GmbH,Other
Senior Director Product Management at Dynatrace,Other
Matelot at Canal marée,Other
Gebietsleiter LBS NordWest at LBS Landesbausparkasse NordWest,Sales
"Country Lead, Country Clinical Operations at Roche",Other
Director at Vic Water,Other
Sales Manager at Photron Deutschland GmbH,Sales
Undergraduate Research Assistant at Baylor University Point-of-Need Innovations Center,Other
Technical Specialist at Financial Conduct Authority,Information Technology
Team Lead Global Supply Management at Tesla,Purchasing
Leiter Projektmanagement / Projektleiter at Kanton Luzern,Project Management
Unternehmensinhaber at One Point,Other
HR Business Partner at Neopac,Human Resources
Corporate recruiter at Hecht,Human Resources
Unternehmensinhaber at 3F Kommunikation,Other
Sr. Drafting & Design Technologist . at Cenovus Energy,Other
Owner at Xaretos,Other
Global Category Manager - Technology & Payment Solutions at bp,Purchasing
Program Manager at SHELL INFORMATION TECHNOLOGY INTERNATIONAL BV,Project Management
Chief Growth Officer at Paradise Tomato Kitchens - Signature Sauce. Signature Service,Business Development
Senior Software Developer at JetBrains,Information Technology
Geschäftsführer / CEO&COO at PLAZAMEDIA GmbH,Other
Customer Executive & Member of Management Northern Europe at DNV,Customer Support
Senior Software Engineer at LIZ Smart Office GmbH at LIZ Smart Office GmbH,Information Technology
Recruitment Consultant at Progressive Recruitment,Consulting
CEO at Merz Reisen GmbH,Other
Corporate Communications & Marketing Services Senior Manager at Canon Austria GmbH,Marketing
International Clinical Project Manager at Scope International AG,Project Management
Leiter Inhouse Logistik at Volkswagen AG,Other
Technology Lead Germany - Global Partner Solutions at Microsoft,Information Technology
Director of Sales and Marketing at Bustec,Sales
Customer Success Manager at KnowBe4,Customer Support
Trade Marketing Manager at Luxottica Group,Marketing
Head Currency Solutions at UBS,Sales
SVP Sales & Accounts at Artemis ITS,Sales
Managing Director at Copenhagen Color,Other
Construction site leader at Koop Bronbemaling B.V.,Other
"Data Manager at Center for Earth System Research and Sustainability, University of Hamburg",Information Technology
Vice President - Supplier Enablement CoE at American Express,Purchasing
Heimleiterin at Stiftung Liebenau,Other
Chief Executive Officer at Level 20,Other
Inhaber und Geschäftsführer at A4 Agentur AG,Other
Senior Manager at MHP – A Porsche Company,Other
Director of Education at Independence Seaport Museum,Other
Gerente Comercial at Baeza Jakob Hermanos Ltda,Sales
Designer at Global Arts,Other
"Gerente de RR.HH Mexico at Apex Tool Group, LLC",Human Resources
Business Development & Key Account Manager at RB&W Manufacturing,Business Development
CEO at CGI MAGIC MOVIE CORPORATION,Other
Quality Coordinator at Digital Realty,Other
"Pensionskundechef / Account Executive - Global Employee Benefits, Corporate Pension at Söderberg & Partners Danmark",Sales
Principal Advisor at European Investment Bank (EIB),Consulting
Senior Manager at PwC,Consulting
Geschäftsführender Gesellschafter at South West Vision GmbH,Other
Sales Director EMEA at Delrin,Sales
Geschäftsführender Gesellschafter at ALTTURBO GmbH,Other
Verkaufsleiter at argon lighting GmbH,Sales
Chief Executive Officer at Lufthansa Technik Services India Pvt Ltd,Other
Senior Program Manager at RINA North America (formerly Patrick),Project Management
Independent Advisor to Founders and Funds at andwin Ltd.,Consulting
CST at PAE Technical Services GmbH,Customer Support
R&D group manager at Fraunhofer IPMS,Other
Klinischer Psychologe at Psychologie.8,Other
Software Developer at SSingularity Technologies,Information Technology
COO (Geschäftsführende Gesellschafterin) at LegalTegrity,Other
Geschäftsführender Gesellschafter at ikonda GmbH,Other
Expat Jumbo Operator at Face Mining Services,Other
Geschäftsführer at Agentur für Kunstvermittlung GmbH,Other
Retired at ;-),Other
Application Specialist at BMG LABTECH,Customer Support
Executive Director / Head of UN Advocacy at International Campaign for Tibet,Other
Project V&V Manager at Alstom,Project Management
Rechtsanwalt | Counsel at Hausfeld,Other
Indigenous Counsellor & Case Manager - Niiwin Wendaanimak at Parkdale Queen West Community Health Centre,Other
Bauleiter at Köster GmbH,Project Management
Amministrazione at Centro diagnostico Pasteur,Administrative
Head of Customer Sales Service & Sales Controlling at Graphic Packaging International - Europe,Sales
Engineering Manager at ERCO,Other
Retired but still active and interested in Optics Development and Metrology at No Company,Other
Sales Consultant - Business Application at Microsoft,Sales
Senior Technical Consultant at Medtronic,Consulting
Nurse Practitioner at Cleveland Clinic Connected Care,Other
Packhouse Managing consultant at Kamps Sperziebonen,Consulting
Verwaltungsrat at 21iLAB,Other
Development Manager at GOLDBECK,Business Development
Vertriebsspezialist at Sto SE & Co. KGaA,Sales
Rechtsanwalt at Freiberuflich,Other
HW-Developer BU Motion at B&R Industrial Automation,Information Technology
Head of Organization Projects and Facility Operations at Atlas Copco Holding GmbH,Other
Head of Global Life Products at ERGO Group AG,Other
Investor at Benno Therapeutics,Other
Geschäftsführer at Muldental Elektronik GmbH,Other
Executive Assistant to the President at HICO CANADA INC.,Administrative
Partner at Freshfields Bruckhaus Deringer,Other
Webentwickler at Nolis GmbH,Information Technology
Director Construction & Engineering at GreenGaraGe GmbH,Other
Dekanatsrätin at Westsächsische Hochschule Zwickau,Administrative
Mitarbeiter Produktmanagement at KIX Service Software GmbH,Other
Manager | Prokurist | Strategie- und Managementberatung Financial Services at KPMG Deutschland,Consulting
Head of Development at Fish Corb Films,Other
Manager at OBSS,Other
Chairman of the Board at Alteams Oy,Other
Stammdatenmanager R&D ENGINEERING / R&D at AL-KO Vehicle Technology Group,Other
aktiver Gesellschafter at Binder Gruppe,Other
"Leiter Produktion / Mitinhaber at Erich Keller AG - Innenausbau, Design + Technik",Other
Senior Manager at Seller Ventures,Business Development
President at Benchmark Foam Inc,Other
Senior Brand Manager at Rust-Oleum Canada,Marketing
Leiter Instandhaltung at Lipoid GmbH,Other
Salesman at Saottini Auto,Sales
Senior Human Resources Manager at SS&C Technologies,Human Resources
Direktor at Sparkasse Schaumburg,Other
Influencer Marketing Executive at KatKin,Marketing
Unternehmensinhaber at Orthosteo Praxis,Other
Vizepräsident Junior at Woody-Display,Other
Prokurist / Direktor Touristik at DERTOUR Austria GmbH,Other
Kipper -Spedition at Gärtner Transporte,Other
Pedagoga at Escola de Educação Infantil João e Maria,Other
Behavioral Health Clinician at Butte County Behavioral Health,Other
Web Developer at Superweb LLP,Information Technology
Manager Custom Solutions at Hansgrohe Group,Sales
Responsable Développement Automotive at Tempo one,Business Development
Projektmanager strat. BK E/E Infrastruktur at BMW Group,Project Management
Responsable de projet marketing et communications at ILODECO,Project Management
Vermittlung und Verrentung von Immobilien at BVFI - Bundesverband für die Immobilienwirtschaft,Sales
Approvisionneuse Bilingue at MANUFACTURE FRANCAISE DU CYCLE,Purchasing
Digital Product Owner at Doka,Information Technology
Head of Legal at Stellantis Germany GmbH,Other
Receptionist at Van Cleef & Arpels,Administrative
Retail Director DACH at S.OLIVER GROUP,Other
Chief Executive Officer at Varme og Kulde AS,Other
General Manager at F. Bosch Medizintechnik Germany,Other
Purser at Lufthansa,Other
Vorstandsvorsitzender at LAG Inklusionsfirmen Hessen e. V.,Other
Associate | M&A at PwC Deutschland,Consulting
VP - Talent Acquisition & People & Culture(HR) at HighRadius,Human Resources
Partner at Andersch,Other
Senior Vice President R&D at WashTec AG,Other
Industriereiniger at Lobbe,Other
CEO at Garden of Concepts GmbH,Other
Senior Vice President Global Supplier Management at PALFINGER Group,Purchasing
Sr. International Agent at FedEx,Customer Support
Manager- Hr Ops & Talent Acquisition at Parangat Technologies,Human Resources
CEO at PaxAn®,Other
Production Engineer at VERWO AG,Other
Quality Engineering Manager at Fluke Corporation,Other
Vertriebsleiter at OÖNachrichten,Sales
Produktmanager at Erwin Renz Metallwarenfabrik GmbH & Co KG,Marketing
Partner und Inhaber at cr Werbeagentur AG,Marketing
"Senior Advisor at US Trade Consult, LLC.",Consulting
Hockey Coach at HK Spartak Dubnica nad Vahom,Other
Quality Assurance Manager / Quality Contract Managment / GMP Auditor at Siegfried Hameln,Other
SVP Transformation & Strategy at Drooms,Other
"Director, Sales Unit Benelux at Uponor GmbH",Sales
Strategischer Einkäufer at Deutsches Zentrum für Luft-und Raumfahrt e.V.,Purchasing
VP Market Intelligence - Business Development - Sales at Atlas Copco,Business Development
Director / Project implementation Manager at Outotec,Project Management
Aktionär at Swiss-Canna Group AG,Other
Werkstudent Facheinkauf Interieur at BMW Group,Purchasing
Account Director at GKN Driveline,Sales
Head teacher in art at Sigtuna folkhögskola,Other
Chef at Verlag Reinhard Wagner,Other
Geschäftsführer at WISAG Passage Service Düsseldorf GmbH & Co. KG,Other
General Manager at BOTTERO GmbH,Other
Spa Concierge at Woodhouse,Customer Support
Geschäftsführender Gesellschafter at neusta marketing GmbH,Marketing
Account-Manager at Nestler Wellpappe GmbH,Sales
Head of Digital Radio Design at Ericsson,Other
Assistent at Amaris Zorggroep,Administrative
Polizistin at Polizei Oberes Fricktal,Other
Managing Partner at FINVIA,Other
Global Product Marketing Manager at Dotdigital,Marketing
Produktingenieur at Spherea GmbH,Other
Vorstand / CEO bei Eberhard AG at Eberhard AG,Other
Projektingenieur at Muhsau Kindl Ingenieurgesellschaft mbH,Project Management
Managing Partner at MDW Capital Partners LLP,Other
Geschäftsführender Gesellschafter at GfA-DICHTUNGEN GMBH,Other
SVP 3DS-Solutions CENIT Group at KEONYS,Consulting
Senior Vice President APAC at Venus Concept,Other
CEO Co-owner at Planet-A-Mor,Other
Business Strategy Consultant at Accenture,Consulting
Managing Director at UTILITY PARTNERS Operations,Other
Recreation Manager at Tahoe Donner Association,Other
Stiftungsrat at Fair Recycling Foundation,Other
Projektplaner at Sto SE & Co. KGaA,Project Management
Senior Manager at MorganFranklin Consulting,Consulting
Information Technology Specialist -ITCS at Hyatt Hotels Corporation,Information Technology
Geschäftsführender Inhaber at auxilion AG,Other
Gebietsverkaufsleiterin Implantologie & Prothetik at ZERAMEX,Sales
Vice President at Toshiba Memory Europe GmbH (TME),Other
Senior Vice President at SFC Energy AG,Other
Platin at WorldStyle Media,Marketing
Executive Partner Development Manager at Huawei,Business Development
"Departementssekretär / Leiter Amt für Militär und Bevölkerungsschutz at Justiz-, Polizei- und Militärdepartement Kanton Appenzell I.Rh",Administrative
CEO at Batterman Consulting,Other
Partner at Bridgged,Other
Chief Executive Officer at ManageCasa Inc.,Other
Arbeitssuche at Bewerbungsphase,Other
Managing Director at SPOCS sports consultants GmbH,Consulting
Head of Global Competence Center MO/BO/Acc Business Analysis at UniCredit Business Integrated Solutions,Business Development
Alleiniger Vorstand at EJF gemeinnützige AG,Other
Senior Software Engineer at Math2Market GmbH,Information Technology
Owner - Executive Director at Chikara Fitness 株式会社,Other
Projektleiter at Aurubis,Project Management
Leiter Program Management RADAR at Continental,Project Management
Geschäftsführer at capital-S-Immobilien,Other
Pharmacy Sales Representative at Bayer,Sales
Bereichsleiter Finanzen und Rechnungswesen at SachsenEnergie AG,Other
"Geschäftsleitung, Prokurist at Leop. Siegle GmbH & Co. KG",Other
Sales Manager at Guild Mortgage,Sales
Industrial Engineer at PI (Physik Instrumente) Group,Other
Pflegedienstleitung at Pflege & Seniorenwohnen Ammertal,Other
Principal Consultant at Lindner Corporation,Consulting
"Projektexperte Sicherheit, Geschäftsleitung at EPRO SECURE",Project Management
Solution Designer at K-Businesscom AG,Information Technology
Founder -Owner at TransatlantiX,Other
Human Resources Manager at TaxNetworkUSA,Human Resources
Einkäufer Werkleistungen/Diestleistugen at Bilfinger Maintenance GmbH,Purchasing
Regional Manager at R.A. Snyder Properties,Other
Head of Hybrid Cloud Solution Sales Germany at Hewlett Packard Enterprise,Sales
Director - Global Banking at BNP Paribas CIB,Other
Doctoral Student at ETH Zürich,Other
Project Manager Entwicklung /Lebensmittel at Nestle,Project Management
Consultant at Freiberuflich,Consulting
General Counsel / Leiter Rechtsabteilung at Random House,Other
Team Lead Business Services at Heel,Other
CEO & Co-founder at SitePlan GmbH,Other
Juristischer Berater at Euler Hermes Deutschland,Consulting
"Leitung Personal, Finanzen, Einkauf, IT | Folkwang Universität der Künste at Folkwang Universität der Künste",Other
