Unnamed: 0,text,predicted_department
234,Senior Advisor,Consulting
235,Hockey Coach,Other
236,Quality Assurance Manager / Quality Contract Managment / GMP Auditor,Other
237,SVP Transformation & Strategy,Other
238,"Director, Sales Unit Benelux",Sales
239,Strategischer Einkäufer,Purchasing
240,VP Market Intelligence,Marketing
241,Director / Project implementation Manager,Project Management
242,Aktionär,Other
243,Werkstudent Facheinkauf Interieur,Purchasing
244,Account Director,Sales
245,Head teacher in art,Other
246,Chef,Other
247,Geschäftsführer,Other
248,General Manager,Other
249,Spa Concierge,Customer Support
250,Geschäftsführender Gesellschafter,Other
251,Account-Manager,Sales
252,Head of Digital Radio Design,Information Technology
253,Assistent,Administrative
254,Polizistin,Other
255,Managing Partner,Other
256,Global Product Marketing Manager,Marketing
257,Produktingenieur,Other
258,Vorstand / CEO bei Eberhard AG,Other
259,Projektingenieur,Project Management
260,Managing Partner,Other
261,Geschäftsführender Gesellschafter,Other
262,SVP 3DS-Solutions CENIT Group,Other
263,Senior Vice President APAC,Other
264,CEO Co-owner,Other
265,Business Strategy Consultant,Consulting
266,Managing Director,Other
267,Recreation Manager,Other
268,Stiftungsrat,Other
269,Projektplaner,Project Management
270,Senior Manager,Other
271,Information Technology Specialist -ITCS,Information Technology
272,Geschäftsführender Inhaber,Other
273,Gebietsverkaufsleiterin Implantologie & Prothetik,Sales
274,Vice President,Other
275,Senior Vice President,Other
276,Platin,Other
277,Executive Partner Development Manager,Business Development
278,Departementssekretär / Leiter Amt für Militär und Bevölkerungsschutz,Other
279,CEO,Other
280,Partner,Other
281,Chief Executive Officer,Other
282,Arbeitssuche,Other
283,Managing Director,Other
284,Head of Global Competence Center MO/BO/Acc Business Analysis,Other
285,Alleiniger Vorstand,Other
286,Senior Software Engineer,Information Technology
287,Owner,Other
288,Projektleiter,Project Management
289,Leiter Program Management RADAR,Project Management
290,Geschäftsführer,Other
291,Pharmacy Sales Representative,Sales
292,Bereichsleiter Finanzen und Rechnungswesen,Other
293,"Geschäftsleitung, Prokurist",Other
294,Sales Manager,Sales
295,Industrial Engineer,Other
296,Pflegedienstleitung,Other
297,Principal Consultant,Consulting
298,"Projektexperte Sicherheit, Geschäftsleitung",Project Management
299,Solution Designer,Information Technology
300,Founder -Owner,Other
301,Human Resources Manager,Human Resources
302,Einkäufer Werkleistungen/Diestleistugen,Purchasing
303,Regional Manager,Other
304,Head of Hybrid Cloud Solution Sales Germany,Sales
305,Director,Other
306,Doctoral Student,Other
307,Project Manager Entwicklung /Lebensmittel,Project Management
308,Consultant,Consulting
309,General Counsel / Leiter Rechtsabteilung,Other
310,Team Lead Business Services,Other
311,CEO & Co-founder,Other
312,Juristischer Berater,Other
313,"Leitung Personal, Finanzen, Einkauf, IT",Other
