num_jobs,active_roles,total_experience_months,avg_job_duration_months,max_job_duration_months,current_title,department,seniority,current_org
2,2,260,130.0,246,Museumspädagoge,Other,Professional,FC Bayern München
9,1,165,18.333333333333332,38,Technical Team Lead,Information Technology,Lead,Nextwo Co.
1,1,0,0.0,0,Managing Director,Other,Management,WIDMER Skippers
1,1,395,395.0,395,Gesellschafter,Other,Management,Augustin Entsorgung Holding GnbH
2,1,241,120.5,207,Maschinenbautechniker,Other,Professional,VTA Verfahrenstechnische Anlagen GmbH & Co. KG
3,1,244,81.33333333333333,131,Technical Customer Service Manager - Flexible Packaging,Customer Support,Lead,Henkel
2,1,71,35.5,36,Java Software Engineer,Information Technology,Professional,Selecty
8,1,167,20.875,44,New Business Manager,Business Development,Lead,Fieldspace Property Group
9,1,140,15.555555555555555,30,Strategic Engagement Manager,Business Development,Lead,Atlassian
2,1,0,0.0,0,Projektmanager,Project Management,Professional,EDAG Engineering GmbH
9,2,248,27.555555555555557,87,Head of aws Preseed and Seedfinancing - Innovative Solutions,Other,Lead,Austria Wirtschaftsservice
7,1,241,34.42857142857143,88,Director of Product Management,Project Management,Director,Murata Vios
4,1,343,85.75,242,Executive Director of Therapies and Developmental Services,Other,Director,Children's Wisconsin
9,1,356,39.55555555555556,101,Projektmanager,Project Management,Professional,Axians NEO Solutions & Technology GmbH
5,1,148,29.6,64,Project Engineer Process Technology - Future Farming,Information Technology,Professional,Körber Technologies
7,2,674,96.28571428571429,179,Kurucu Ortak,Other,Management,SOR Eğitim Danışmanlık
6,1,344,57.333333333333336,210,Digital Marketing Manager,Marketing,Professional,Cranfield University School of Management
16,8,1280,80.0,232,Trainer/docent,Human Resources,Professional,Hogeschool Utrecht
9,2,184,20.444444444444443,62,Procurement Manager Strategische Inkoop,Purchasing,Professional,Byldis
3,1,124,41.333333333333336,77,Partner,Business Development,Management,Rüdisühli Rechtsanwälte Part mbB
7,1,238,34.0,88,Lead Naval Architect,Other,Lead,Naval Sea Systems Command (NAVSEA) SUPSHIP San Diego
1,1,448,448.0,448,Inside Sales,Sales,Professional,Nidec Control Techniques
6,1,369,61.5,95,Key-Account-Manager,Sales,Professional,"Detlef Meyer ""DM108.de - LEH Vertrieb"""
3,1,287,95.66666666666667,169,Managing Director,Other,Management,s h e d
1,1,202,202.0,202,Berufskraftfahrer,Other,Professional,Paul Schockemöhle Logistics GmbH & Co. KG
5,1,0,0.0,0,Head of Glass Technology,Other,Lead,HEINZ-GLAS Produktion GmbH & Co KGaA
6,1,218,36.333333333333336,65,Key-Account-Manager,Sales,Professional,Nagel-Group
1,1,254,254.0,254,Accounting Manager,Other,Lead,Dow Jones Local Media Group
1,1,142,142.0,142,Interims Technical Manager,Information Technology,Lead,TTS NMF GmbH
5,1,128,25.6,44,Project Manager,Project Management,Professional,"MADELINE STUART & ASSOCIATES, INC."
7,1,93,13.285714285714286,36,Management Consultant Information Security and Privacy,Consulting,Professional,Cassini Consulting AG
3,1,72,24.0,48,Büroleiter | Pressesprecher,Administrative,Lead,Dr. Zanda Martens MdB | Büro Düsseldorf
7,1,522,74.57142857142857,243,Departementssekretär Finanz,Other,Professional,Stadt Zug
3,1,268,89.33333333333333,131,Managing Director,Other,Management,Aximpro
8,2,282,35.25,86,Lehrbeauftragter,Consulting,Lead,Berner Fachhochschule BFH
7,1,115,16.428571428571427,36,Manager | Mergers & Acquisitions,Other,Professional,Deloitte
3,1,286,95.33333333333333,180,Technical Transfer Leader,Consulting,Lead,Roche Pharmaceuticals
7,1,598,85.42857142857143,276,Account manager / Sælger Helly Hansen Workwear Sjælland & Bornholm,Sales,Professional,Helly Hansen
1,1,263,263.0,263,Geschäftsführender Gesellschafter,Other,Management,agn Gruppe
1,1,358,358.0,358,Director,Other,Director,Peter van Setten Transport B.V.
4,1,274,68.5,147,Unternehmensinhaber,Other,Management,Herz Transporte und Spedition
8,1,382,47.75,92,"Board Member, CFO / Asset Management",Other,Management,KZVK
4,2,162,40.5,76,CEO,Other,Management,Tirol Werbung
9,1,183,20.333333333333332,43,Finance - AWS Global Private Pricing,Other,Professional,Amazon Web Services (AWS)
3,1,88,29.333333333333332,65,Software Developer,Information Technology,Professional,Harmonic
10,1,198,19.8,74,Vice President Global Head Order Processing / Prokurist,Other,Management,SSI SCHÄFER
1,1,410,410.0,410,CEO Morgenpost & TAG 24 | Vertriebsleiter Sächsische Zeitung / Lesermark | CEO MVD Ökoflitzer,Other,Lead,DDV Mediengruppe
3,2,576,192.0,279,Styreleder / Partner,Other,Management,Hellemyr Eiendom AS
9,1,205,22.77777777777778,72,Projektleiter Qualität HV-Batterie,Project Management,Lead,Mercedes-Benz AG
8,1,329,41.125,70,Global Director Head of Portfolio and Business Development Global Service,Business Development,Director,Giesecke+Devrient
4,1,146,36.5,78,Summer Camp Counselor,Other,Professional,Thayer Academy
5,2,424,84.8,179,Project Lead for Swap Re-engineering Project,Project Management,Lead,Davidson Kempner Capital Management
6,4,749,124.83333333333333,203,Kanzler / CFO,Other,Management,Frankfurt School of Finance & Management
5,2,720,144.0,366,Personalleiter,Human Resources,Lead,Lebenhilfe Augsburg
5,2,388,77.6,160,Assistant Director of Prospect Management and Data Analytics,Other,Director,The Johns Hopkins University
3,1,332,110.66666666666667,291,"Klavierlehrer, Korrepetitor",Other,Professional,Jugendmusikschule Württembergisches Allgäu
4,1,238,59.5,238,Managing Partner / Group Managing Board,Other,Management,Alexander Hughes Germany / Alexander Hughes International
7,1,181,25.857142857142858,100,Manager,Other,Professional,Queensland Corrective Services
16,1,779,48.6875,167,Founder and Senior Partner,Consulting,Management,Black Forest Business Solutions
4,1,367,91.75,282,Vorsitzender des Vorstandes,Other,Management,LÖHR & BECKER Aktiengesellschaft
8,1,445,55.625,93,Head of Engineering,Information Technology,Lead,FTI Engineering Network GmbH
1,1,366,366.0,366,District Sales manager,Sales,Lead,FedEx Express
3,2,519,173.0,209,Assistant Treasurer Real Estate,Other,Junior,EFG Bank
1,1,337,337.0,337,Managing Dircector,Other,Management,NP4 GmbH
7,1,223,31.857142857142858,90,Director of Business Analysts and Special Projects,Information Technology,Director,SouthEast Bank
1,1,0,0.0,0,Robotertechniker,Information Technology,Professional,EDAG Austria
14,2,332,23.714285714285715,67,OÖ Koordinator für das Team der Bereiche Beschlagwortung / Zustellproblem,Purchasing,Lead,Sozialversicherung der Selbständigen
12,2,319,26.583333333333332,70,Head of Content & Workflows,Marketing,Lead,IBM iX DACH
1,1,131,131.0,131,Scierie collignon,Other,Professional,SCIERIE COLLIGNON
4,1,211,52.75,118,Senior Microsoft 365 Engineer,Information Technology,Senior,Deichmann SE
5,1,149,29.8,58,Product Manager Online Catalog & Shop,Other,Professional,ZF Group
1,1,325,325.0,325,Diplom Bauingenieur,Other,Professional,ISP Stahlbauplanung
3,1,260,86.66666666666667,137,"Executive Director, Marketing Strategy Director",Marketing,Management,JPMorgan Chase & Co.
1,1,431,431.0,431,Leiter Controlling und Rechnungswesen,Other,Lead,VRG GmbH
6,1,387,64.5,215,President,Other,Management,"Liberty Civil Construction, LLC"
4,1,246,61.5,133,"Architektin, Fachgebietsleitung Technisches und Strategisches Gebäudemanagement",Project Management,Lead,Kreisverwaltung Darmstadt-Dieburg
15,1,256,17.066666666666666,48,Co-CEO,Other,Management,VIRTWO
1,1,343,343.0,343,Vice President,Other,Management,Bogner Construction Company
5,1,0,0.0,0,Krankenhausgeschäftsführer,Other,Management,Hospital Management Group GmbH
5,2,386,77.2,170,Co-Head of Bid Management CE,Sales,Lead,Atos Information Technology GmbH
10,1,303,30.3,131,Leiter IT-Service- und Betriebsmanagement,Information Technology,Lead,GO! Express & Logistics
9,1,223,24.77777777777778,44,Senior Human Resources Consultant,Consulting,Senior,Independent Contractor
6,1,101,16.833333333333332,50,Senior Legal Advisor,Other,Senior,Telenor
1,1,218,218.0,218,Physiotherapeutin,Other,Professional,TZ Garsten
1,1,74,74.0,74,Research Associate,Consulting,Junior,Fraunhofer Institute of Machine Tools and Forming Technology
5,1,176,35.2,176,Geschäftsführender Gesellschafter,Other,Management,medpirica
7,1,219,31.285714285714285,68,Finance Director Central Europe 🇩🇪🇨🇭🇵🇱,Other,Director,Harvey Nash
8,1,115,14.375,46,Senior Program Analyst (Immigration),Other,Senior,U.S. Department of Labor
1,1,159,159.0,159,Betriebsleiter,Other,Lead,Benteler Distribution
5,1,329,65.8,198,Chief Executive Officer,Other,Management,ZF Group
5,1,324,64.8,181,Chief Strategy Officer (CSO),Other,Management,Mediaschneider AG
2,1,291,145.5,179,Software Developer,Information Technology,Professional,AVL
8,2,366,45.75,199,CTO,Information Technology,Management,Vejle Brand
5,2,147,29.4,54,Projektkoordinator,Project Management,Lead,ACE Auto Club Europa e. V.
6,1,326,54.333333333333336,73,Hoofd Bouwbureau,Other,Lead,Kroon & de Koning BV
2,1,27,13.5,27,Head of Package & Installation Design IGC,Project Management,Lead,Siemens Energy
3,2,34,11.333333333333334,27,Director General Sector and Global Programmes,Other,Director,Deutsche Gesellschaft für Internationale Zusammenarbeit GmbH
7,1,524,74.85714285714286,275,Station Manager at Ground2Air in Palma de Mallorca,Other,Lead,Ground2air Assistance
1,1,240,240.0,240,Bereichs PDL,Other,Lead,St. Walburga Krankenhaus Meschede GmbH
1,1,0,0.0,0,Geschäftsinhaber,Other,Management,TouchPoint Communication AG
7,1,317,45.285714285714285,111,Geschäftsführer CFO,Other,Management,APOGEPHA Arzneimittel GmbH
7,1,249,35.57142857142857,62,Senior Project Leader,Project Management,Lead,ALPS ALPINE Europe
5,1,131,26.2,131,Verwaltungsratsvorsitzender,Other,Management,Alium Technology AG
1,1,241,241.0,241,Dozent/ Ausbilder,Other,Professional,HWK Erfurt
2,1,78,39.0,78,"Teamleder arkitektur, drift og sikkerhet IT-seksjonen VID",Information Technology,Lead,VID vitenskapelige høgskole
7,1,286,40.857142857142854,112,Responsable technique,Information Technology,Lead,Ecole Hôtelière de Genève | EHG
11,2,530,48.18181818181818,157,Partner,Business Development,Management,Luxcenture
7,5,1066,152.28571428571428,275,Geschäftsführer und Podcast-Host,Other,Management,Mittelstars
16,1,413,25.8125,114,Business Consultant,Consulting,Professional,F Henningsen ApS
14,1,393,28.071428571428573,101,President Of The Board Of Directors,Other,Management,Instituto Vladimir Herzog
9,1,341,37.888888888888886,87,Head of Group Capital Markets,Other,Lead,Raiffeisen Bank International AG
5,1,351,70.2,110,Chairman of Board of Appeal and Member of Enlarged Board of Appeal,Other,Management,European Patent Office
9,1,338,37.55555555555556,84,Citrix Systems Engineer,Information Technology,Professional,Raymond James
6,1,59,9.833333333333334,22,Anesthesiemedewerker,Other,Professional,Amsterdam UMC
8,2,369,46.125,144,Vertriebsdirektor,Sales,Director,VR Payment GmbH
5,1,287,57.4,190,Projektleder,Project Management,Lead,Montera ApS
7,7,1821,260.14285714285717,406,Geschäftsführer,Other,Management,GENUSSMOMENTE für digitales Zusammensein
4,3,570,142.5,227,Geschäftsführer,Other,Management,BBHT Solutions S.R.L.
2,1,511,255.5,441,CEO,Other,Management,Ing. Büro W.Meier GmbH
7,1,323,46.142857142857146,101,Gerente de Comunicação e Marketing,Marketing,Professional,Casas André Luiz
1,1,235,235.0,235,Geschäftsführer Finanzen,Other,Management,Karwendel-Werke Huber GmbH & Co. KG
8,1,430,53.75,138,CEO,Other,Management,A-ROSA Kreuzfahrten
1,1,359,359.0,359,Algemeen directeur,Other,Management,de Taxatheek
5,1,293,58.6,188,Executive Director,Other,Management,JPMorgan Chase & Co.
6,1,198,33.0,88,Supply Chain Lead & Master Planning,Other,Lead,ENOUGH
13,1,432,33.23076923076923,65,Chief Executive Officer,Other,Management,Switch GmbH
4,1,106,26.5,50,Information Technology Business Analyst,Information Technology,Professional,"Triad Technologies, LLC"
12,2,293,24.416666666666668,75,Global VP and Head of Sustainability Innovation,Other,Management,SAP
6,2,332,55.333333333333336,84,Vorstandsvorsitzender,Other,Management,EIKONA AG
8,1,248,31.0,96,Private Equity Investments,Other,Professional,Principal Vermögensverwaltung AG
11,1,376,34.18181818181818,91,DevOps Orchestration Manager,Information Technology,Professional,University of Central Lancashire
1,1,183,183.0,183,Leiter Expansion und Projektentwicklung,Project Management,Lead,SPAR Österreich
11,1,128,11.636363636363637,49,Head of Marketing: Promoting label-free cell analysis technology,Marketing,Lead,Amphasys
1,1,231,231.0,231,Kfz-Mechatroniker,Other,Professional,Autohaus Walter Mulfinger GmbH
1,1,434,434.0,434,Grafik Designer,Marketing,Professional,HEUSSINGER.de
2,1,252,126.0,196,Chief Technology Officer,Information Technology,Management,Solid Technology Solutions
10,1,275,27.5,57,Manager Regional Key Accounts Americas,Sales,Professional,Qatar Airways
7,1,162,23.142857142857142,69,Digital Project Managerin Marketing,Marketing,Professional,GE Healthcare
1,1,134,134.0,134,Mediaberater DpS - Fachzeitschrift f. Schädlingsbekämpfung/SalesManager DpS - Pest Control Magazine,Sales,Professional,Beckmann Verlag
3,1,91,30.333333333333332,58,Head of Logistics,Other,Lead,European Union Mission in Armenia
5,1,116,23.2,61,Data Analyst,Information Technology,Professional,AXRO GmbH
3,1,287,95.66666666666667,191,kfm. Prokurist,Other,Management,WEVG Salzgitter GmbH & Co. KG
2,2,278,139.0,230,Founding Partner,Other,Management,IBD | Integrated Business Design
8,3,322,40.25,122,Directeur de la construction,Other,Director,Edusco construction
1,1,0,0.0,0,Director of Business Development,Business Development,Director,M H windows decor pvt ltd
1,1,392,392.0,392,Neutraubling,Other,Professional,Scheck Lagerhaus Transporte GmbH
2,1,222,111.0,200,Abteilungsdirektor Vertrieb,Sales,Director,ALTE OLDENBURGER Krankenversicherung AG
9,1,185,20.555555555555557,69,Data Analyst (Sustainable & Fund Finance),Other,Professional,Tetrao
3,1,67,22.333333333333332,47,Kundansvarig,Sales,Professional,Itsy
4,1,284,71.0,119,Geschäftsführer,Other,Management,FalkenSteg
4,2,310,77.5,242,Referatsleiter,Other,Lead,Bürgeramt Bremen
5,1,199,39.8,52,Global IT | Solution Architect Supply Chain Transportation,Information Technology,Professional,Evonik
9,1,216,24.0,78,Leiterin E-Commerce,Marketing,Lead,Musik Hug AG
2,1,503,251.5,417,Büroleiter,Administrative,Lead,Agentur Rinn
9,1,212,23.555555555555557,52,Managing Director,Other,Management,Eagle International Logistics
7,1,481,68.71428571428571,142,ppa. Head of Treasury & Insurance,Other,Lead,TMD Friction
5,1,115,23.0,63,Sourcing Specialist,Purchasing,Professional,GRUNDFOS
4,1,350,87.5,132,"Founder, Owner",Other,Management,Suregen Health-IT consulting
11,1,137,12.454545454545455,43,Marketplace Manager / Online Shop Manager,Sales,Professional,ONSKINERY
4,1,0,0.0,0,Vorsitzender des Vorstandes (CEO),Other,Management,Deutsche Bahn
6,1,196,32.666666666666664,117,Geschäftsführer,Other,Management,Bodensee Pharma GmbH
5,1,395,79.0,163,Teamleiter Disposition Fahrzeuge und Stv. Ressourcenplaner,Other,Lead,Kanton Aargau
9,1,254,28.22222222222222,53,Account Manager,Sales,Professional,Cisco
3,1,305,101.66666666666667,264,Head of Marketing Communications EMEA - Oxford Instruments Group,Marketing,Lead,Oxford Instruments plc
5,3,635,127.0,317,Unternehmensinhaber,Other,Management,URBANCONCEPT
7,2,405,57.857142857142854,182,Marktondersteuning,Sales,Junior,Holland Pharma
9,2,451,50.111111111111114,97,Director Code Nomads Amsterdam,Information Technology,Director,Code Nomads
3,1,93,31.0,44,Senior Customer Care Representative,Customer Support,Senior,FedEx
5,1,193,38.6,64,CTO,Information Technology,Management,VORWERK ELEKTROWERKE GMBH & CO.KG
5,1,184,36.8,95,Group Design Strategy & -targets,Other,Professional,BMW Group
9,1,477,53.0,167,CEO,Other,Management,vsonix GmbH
2,1,295,147.5,236,Managing Director,Other,Management,CPS Anwendungsberatung für die Wellpappenindustrie
12,2,176,14.666666666666666,49,Assistant Manager,Other,Lead,KPMG Austria
5,1,39,7.8,12,Lead consultant,Consulting,Lead,SCALES Group A/S
4,2,510,127.5,303,Geschäftsführender Gesellschafter,Other,Management,123BAG GmbH
3,1,163,54.333333333333336,65,Head of IT Services & Operations Management,Information Technology,Lead,JACOB Group
6,1,243,40.5,119,Teamleader IT Operations Management,Information Technology,Lead,hGears
1,1,346,346.0,346,Vertrieb,Sales,Professional,N+S Bürocenter
3,1,140,46.666666666666664,71,Technischer Experte für Stellwerkstechnik,Information Technology,Senior,Siemens
1,1,83,83.0,83,HR-Manager,Human Resources,Professional,HvS-Consulting AG
4,1,64,16.0,38,Operation Supervisor,Other,Lead,TAV Operation Services
7,1,353,50.42857142857143,195,Geschäftsführer,Other,Management,MorgenFund
5,1,311,62.2,123,Konstrukteur,Other,Professional,Bosch
2,1,75,37.5,38,Projektleiter in der Engineering IT,Information Technology,Lead,Daimler Buses GmbH
6,2,286,47.666666666666664,191,Retail Marketing Management,Marketing,Professional,Jaguar Land Rover Belux
7,1,209,29.857142857142858,78,Ruby Fullstack Developer,Information Technology,Professional,blueReport (cognita AG)
1,1,428,428.0,428,CEO,Other,Management,Fischer-Plastik GesmbH
7,1,355,50.714285714285715,114,Chef de projet senior,Project Management,Senior,EQUANS France
13,2,443,34.07692307692308,85,Country Manager Czech Republic and Slovakia,Other,Lead,Adform
4,2,341,85.25,152,Geschäftsführer,Other,Management,Yatego GmbH
8,1,269,33.625,89,Group CEO,Other,Management,AYRES Composite Panels
4,1,0,0.0,0,"Director, Finance and Information Technology",Other,Director,Thames Valley Children's Centre
1,1,260,260.0,260,Bergungsleiter,Other,Lead,Abschleppdienst Potsdam Nord Süd gmbh
6,2,478,79.66666666666667,114,Co-CEO,Other,Management,Yorizon Cloud
5,1,300,60.0,230,Aircraft Physical Security Expert,Other,Senior,Airbus
2,1,406,203.0,374,General Manager,Other,Management,BASF
4,1,417,104.25,157,Head of Regulatory Projects,Consulting,Lead,FNZ Bank SE
1,1,53,53.0,53,Owner,Other,Management,GBOH Technology
5,1,25,5.0,14,Financial Analyst,Other,Professional,Syrena Real Estate
16,1,684,42.75,164,Mentor,Other,Senior,Tandem 50
8,1,175,21.875,67,Vertriebsingenieur,Sales,Professional,Interstarch
13,2,1462,112.46153846153847,321,Professor im Ruhestand,Other,Professional,Westfälisches Energieinstitut
4,1,78,19.5,35,Vedoucí pobočky Popůvky,Administrative,Lead,Liebherr Group
2,1,0,0.0,0,Lead engineer/ groepscoordinator,Information Technology,Lead,Strukton
1,1,383,383.0,383,Geschäftsfüherer,Other,Management,Raff Sanitär GmbH
7,1,268,38.285714285714285,113,"Dezernat für Wirtschaft, Stadtentwicklung, Liegenschaften und Ordnungswesen - Büroleitung/Referent",Other,Lead,Landeshauptstadt Mainz
6,1,88,14.666666666666666,22,Senior Enterprise IT Systems Specialist,Information Technology,Senior,CETIN Serbia
7,1,134,19.142857142857142,29,Vikar,Other,Junior,Botilbuddet Katrinebjerg
9,1,217,24.11111111111111,104,General Manager,Other,Management,Rescop
9,1,210,23.333333333333332,40,Chief Sales Officer (CSO),Sales,Management,"GROB Systems, Inc"
2,1,281,140.5,231,Key Account Manager,Sales,Professional,Nestlé Waters Deutschland GmbH
6,2,283,47.166666666666664,93,Selbstständig,Other,Professional,Sleeping Bird
9,1,111,12.333333333333334,76,Project Manager,Project Management,Professional,D18 Partners
5,1,392,78.4,204,Enseignant,Other,Professional,Université du Maine-Le Mans-Laval
10,1,379,37.9,69,Senior Account Manager Public Sector,Sales,Senior,Eviden
6,1,463,77.16666666666667,235,Senior Consultant Procurement Excellence,Consulting,Senior,ThyssenKrupp AG
2,2,964,482.0,599,Rechtsanwalt,Other,Professional,Anwaltskanzlei Heinemann
5,2,240,48.0,77,Commercial Service Manager,Customer Support,Professional,Wipotec
10,1,252,25.2,50,Head of CapEx Delivery Management and Planning Site Leverkusen,Project Management,Lead,Bayer
2,1,286,143.0,286,Quality Manager,Other,Professional,Letec-Terem
3,1,234,78.0,184,Senior IT-Lizenzspezialist,Information Technology,Senior,Bechtle Schweiz AG
4,1,0,0.0,0,Strategy Director,Business Development,Director,Sodexo Defence (UK)
3,2,490,163.33333333333334,455,Unternehmensinhaber,Other,Management,Richnerstutz AG
1,1,189,189.0,189,Unternehmensinhaber,Other,Management,doxx GmbH
1,1,59,59.0,59,Managing Director,Other,Management,AWEX
6,1,275,45.833333333333336,167,Director Commercial Operations,Marketing,Director,EMEA Business Group
1,1,0,0.0,0,Betriebsleiter API-Produktion,Information Technology,Lead,Roche Pharmaceuticals
4,1,386,96.5,223,Human Resources Specialist,Human Resources,Professional,RACE FX LIMITED
1,1,196,196.0,196,49504,Other,Professional,BAUKING AG
1,1,156,156.0,156,Family Nurse Practitioner,Other,Professional,PATTON STATE HOSPITAL
7,1,186,26.571428571428573,47,Global Chief Engineer / Manager - Power Electronics (OBC/DCDC),Information Technology,Lead,Stellantis
4,2,627,156.75,299,Inhaber rido gmbh,Other,Management,rido gmbh
2,1,125,62.5,87,SAP Solutions Consultant,Consulting,Professional,All for One Switzerland AG
4,1,232,58.0,99,Senior Treasury Manager,Other,Senior,LR Global Holding GmbH
4,1,64,16.0,19,Senior Consultant,Consulting,Senior,Randstad Deutschland
9,1,194,21.555555555555557,44,Freelance Marketing Consulting / Client Service / Interim Marketing & Branding,Consulting,Professional,Alexander Klaus Freelance- & Interims- Marketing Consulting
8,1,289,36.125,60,VP Product Management,Project Management,Management,Anyline
9,2,371,41.22222222222222,138,Head of Mechanical Engiuneering,Other,Lead,VON ARDENNE GmbH
5,1,52,10.4,20,Progettista Finanza Agevolata - Research Funding & Administration,Other,Professional,Masmec S.p.A.
4,1,267,66.75,96,Software Engineer IV,Information Technology,Senior,Oracle
4,1,156,39.0,74,Communications Coordinator,Marketing,Lead,Whitefish Lake First Nation #459
7,1,313,44.714285714285715,117,Head of ICT,Information Technology,Lead,Australian Museum
5,2,1040,208.0,340,Managing Director,Other,Management,aquantus gmbh
2,1,41,20.5,41,Responsable,Other,Lead,OCB RENOV
2,1,204,102.0,166,Head of Sales DACH,Sales,Lead,PREO Software AG
12,2,509,42.416666666666664,108,Senior Partner,Business Development,Senior,IBM Deutschland GmbH
3,1,469,156.33333333333334,302,Application Consultant,Consulting,Professional,Uhlmann Pac-Systeme
7,4,749,107.0,178,Partner,Business Development,Management,Oppskvær AS - for team som må lykkes
5,1,139,27.8,67,Postdoctoral Researcher and Lecturer,Other,Professional,Technische Universität Kaiserslautern
6,1,235,39.166666666666664,92,Purchasing Manager,Purchasing,Professional,Benchmark Electrical Solutions
4,1,54,13.5,23,Postdoctoral Research Fellow,Other,Professional,University of New Brunswick
7,1,495,70.71428571428571,292,Strategic Purchasing Manager • Group Purchasing,Purchasing,Professional,Schleuniger Global
8,1,599,74.875,209,Konsult HR,Human Resources,Professional,Egen verksamhet
1,1,509,509.0,509,Leiter Vergütung & Versorgung,Human Resources,Lead,Oldenburgische Landesbank AG
2,1,270,135.0,166,Produktmanager Optomechanik,Project Management,Professional,Vision Lasertechnik für Forschung und Industrie GmbH
4,1,87,21.75,55,Senior Vice President,Other,Management,LPL Financial
6,3,470,78.33333333333333,225,Researcher,Other,Professional,"Institute of Radiology, Friedrich-Alexander University, Erlangen"
2,1,180,90.0,151,Arbeitslos,Other,Professional,keine Angabe
6,1,167,27.833333333333332,71,"Senior Lecturer, Education-Focused",Other,Senior,UNSW
8,1,229,28.625,60,Director of Sales & Marketing,Sales,Director,NEIS Collective
6,1,87,14.5,31,Master Data & Demand Manager Supply Chain Management,Other,Professional,KALORIMETA GmbH
1,1,411,411.0,411,Verkaufsleitung,Sales,Lead,Gaugler & Lutz GmbH & Co.KG
13,1,226,17.384615384615383,49,Platform Support Direct Drive,Customer Support,Professional,Siemens Gamesa
7,1,285,40.714285714285715,140,Recruitment Manager,Human Resources,Professional,ErgaNet
