seniority,department,position,organization
Management,Other,Styreleder / Partner,Hellemyr Eiendom AS
Lead,Project Management,Projektleiter Qualität HV-Batterie,Mercedes-Benz AG
Director,Business Development,Global Director Head of Portfolio and Business Development Global Service,Giesecke+Devrient
Professional,Other,Summer Camp Counselor,Thayer Academy
Management,Other,Business Owner,FILLY BROOK LTD
Management,Other,Kanzler / CFO,Frankfurt School of Finance & Management
Professional,Other,Rechtsanwalt,Selbstständig
Professional,Marketing,"Writer, Editor, Publisher",michaelbtager.com
Professional,Other,"Klavierlehrer, Korrepetitor",Jugendmusikschule Württembergisches Allgäu
Management,Other,Managing Partner / Group Managing Board,Alexander Hughes Germany / Alexander Hughes International
Professional,Other,Manager,Queensland Corrective Services
Management,Consulting,Founder and Senior Partner,Black Forest Business Solutions
Management,Other,Vorsitzender des Vorstandes,LÖHR & BECKER Aktiengesellschaft
Lead,Information Technology,Head of Engineering,FTI Engineering Network GmbH
Lead,Sales,District Sales manager,FedEx Express
Junior,Other,Assistant Treasurer Real Estate,EFG Bank
Management,Other,Managing Dircector,NP4 GmbH
Director,Information Technology,Director of Business Analysts and Special Projects,SouthEast Bank
Professional,Information Technology,Robotertechniker,EDAG Austria
Professional,Purchasing,Sachbearbeiter in der Beschlagwortung / Rückpost,Sozialversicherung der Selbständigen
Lead,Marketing,Head of Content & Workflows,IBM iX DACH
Professional,Other,Scierie collignon,SCIERIE COLLIGNON
Senior,Information Technology,Senior Microsoft 365 Engineer,Deichmann SE
Professional,Other,Product Manager Online Catalog & Shop,ZF Group
Professional,Other,Diplom Bauingenieur,ISP Stahlbauplanung
Management,Marketing,"Executive Director, Marketing Strategy Director",JPMorgan Chase & Co.
Lead,Other,Leiter Controlling und Rechnungswesen,VRG GmbH
Management,Other,President,"Liberty Civil Construction, LLC"
Lead,Project Management,"Architektin, Fachgebietsleitung Technisches und Strategisches Gebäudemanagement",Kreisverwaltung Darmstadt-Dieburg
Management,Other,Co-CEO,VIRTWO
Management,Other,Vice President,Bogner Construction Company
Management,Other,Krankenhausgeschäftsführer,Hospital Management Group GmbH
Lead,Sales,Co-Head of Bid Management CE,Atos Information Technology GmbH
Lead,Information Technology,Leiter IT-Service- und Betriebsmanagement,GO! Express & Logistics
Senior,Consulting,Senior Human Resources Consultant,Independent Contractor
Senior,Other,Senior Legal Advisor,Telenor
Professional,Other,Physiotherapeutin,TZ Garsten
Junior,Consulting,Research Associate,Fraunhofer Institute of Machine Tools and Forming Technology
Management,Other,Geschäftsführender Gesellschafter,medpirica
Director,Other,Finance Director Central Europe 🇩🇪🇨🇭🇵🇱,Harvey Nash
Senior,Other,Senior Program Analyst (Immigration),U.S. Department of Labor
Lead,Other,Betriebsleiter,Benteler Distribution
Management,Other,Chief Executive Officer,ZF Group
Management,Other,Chief Strategy Officer (CSO),Mediaschneider AG
Professional,Information Technology,Software Developer,AVL
Management,Information Technology,CTO,Vejle Brand
Lead,Project Management,Projektkoordinator,ACE Auto Club Europa e. V.
Lead,Other,Hoofd Bouwbureau,Kroon & de Koning BV
Lead,Project Management,Head of Package & Installation Design IGC,Siemens Energy
Director,Other,Director General Sector and Global Programmes,Deutsche Gesellschaft für Internationale Zusammenarbeit GmbH
Lead,Other,Station Manager at Ground2Air in Palma de Mallorca,Ground2air Assistance
Lead,Other,Bereichs PDL,St. Walburga Krankenhaus Meschede GmbH
Management,Other,Geschäftsinhaber,TouchPoint Communication AG
Management,Other,Geschäftsführer CFO,APOGEPHA Arzneimittel GmbH
Lead,Project Management,Senior Project Leader,ALPS ALPINE Europe
Management,Other,Verwaltungsratsvorsitzender,Alium Technology AG
Professional,Other,Dozent/ Ausbilder,HWK Erfurt
Lead,Information Technology,"Teamleder arkitektur, drift og sikkerhet IT-seksjonen VID",VID vitenskapelige høgskole
Lead,Information Technology,Responsable technique,Ecole Hôtelière de Genève | EHG
Management,Business Development,Partner,Luxcenture
Management,Other,Geschäftsführer und Podcast-Host,Mittelstars
Professional,Consulting,Business Consultant,F Henningsen ApS
Management,Other,President Of The Board Of Directors,Instituto Vladimir Herzog
Lead,Other,Head of Group Capital Markets,Raiffeisen Bank International AG
Management,Other,Chairman of Board of Appeal and Member of Enlarged Board of Appeal,European Patent Office
Professional,Information Technology,Citrix Systems Engineer,Raymond James
Professional,Other,Anesthesiemedewerker,Amsterdam UMC
Director,Sales,Vertriebsdirektor,VR Payment GmbH
Lead,Project Management,Projektleder,Montera ApS
Management,Other,Geschäftsführer,GENUSSMOMENTE für digitales Zusammensein
Management,Other,Geschäftsführender Gesellschafter,BBHT Beratungsgesellschaft mbH & Co. KG
Management,Other,CEO,Ing. Büro W.Meier GmbH
Professional,Marketing,Gerente de Comunicação e Marketing,Casas André Luiz
Management,Other,Geschäftsführer Finanzen,Karwendel-Werke Huber GmbH & Co. KG
Management,Other,CEO,A-ROSA Kreuzfahrten
Management,Other,Algemeen directeur,de Taxatheek
Management,Other,Executive Director,JPMorgan Chase & Co.
Lead,Other,Supply Chain Lead & Master Planning,ENOUGH
Management,Other,Chief Executive Officer,Switch GmbH
Professional,Information Technology,Information Technology Business Analyst,"Triad Technologies, LLC"
Management,Other,Global VP and Head of Sustainability Innovation,SAP
Management,Other,Vorstandsvorsitzender,EIKONA AG
Professional,Other,Private Equity Investments,Principal Vermögensverwaltung AG
Professional,Information Technology,DevOps Orchestration Manager,University of Central Lancashire
Lead,Project Management,Leiter Expansion und Projektentwicklung,SPAR Österreich
Lead,Marketing,Head of Marketing: Promoting label-free cell analysis technology,Amphasys
Professional,Other,Kfz-Mechatroniker,Autohaus Walter Mulfinger GmbH
Professional,Marketing,Grafik Designer,HEUSSINGER.de
Management,Information Technology,Chief Technology Officer,Solid Technology Solutions
Professional,Sales,Manager Regional Key Accounts Americas,Qatar Airways
Professional,Marketing,Digital Project Managerin Marketing,GE Healthcare
Professional,Sales,Mediaberater DpS - Fachzeitschrift f. Schädlingsbekämpfung/SalesManager DpS - Pest Control Magazine,Beckmann Verlag
Lead,Other,Head of Logistics,European Union Mission in Armenia
Professional,Information Technology,Data Analyst,AXRO GmbH
Management,Other,kfm. Prokurist,WEVG Salzgitter GmbH & Co. KG
Management,Other,Founding Partner,IBD | Integrated Business Design
Management,Consulting,Entrepreneur general et consultat construction,Concept SJDL inc
Director,Business Development,Director of Business Development,M H windows decor pvt ltd
Professional,Other,Neutraubling,Scheck Lagerhaus Transporte GmbH
Director,Sales,Abteilungsdirektor Vertrieb,ALTE OLDENBURGER Krankenversicherung AG
Professional,Other,Data Analyst (Sustainable & Fund Finance),Tetrao
Professional,Sales,Kundansvarig,Itsy
Management,Other,Geschäftsführer,FalkenSteg
Professional,Administrative,Verwaltungsangestellter,Freie Hansestadt Bremen - Der Senator für Inneres - Bürgeramt
Professional,Information Technology,Global IT | Solution Architect Supply Chain Transportation,Evonik
Lead,Marketing,Leiterin E-Commerce,Musik Hug AG
Lead,Administrative,Büroleiter,Agentur Rinn
Management,Other,Managing Director,Eagle International Logistics
Lead,Other,ppa. Head of Treasury & Insurance,TMD Friction
Professional,Purchasing,Sourcing Specialist,GRUNDFOS
Management,Other,"Founder, Owner",Suregen Health-IT consulting
Professional,Sales,Marketplace Manager / Online Shop Manager,ONSKINERY
Management,Other,Vorsitzender des Vorstandes (CEO),Deutsche Bahn
Management,Other,Geschäftsführer,Bodensee Pharma GmbH
Lead,Other,Teamleiter Disposition Fahrzeuge und Stv. Ressourcenplaner,Kanton Aargau
Professional,Sales,Account Manager,Cisco
Lead,Marketing,Head of Marketing Communications EMEA - Oxford Instruments Group,Oxford Instruments plc
Management,Other,Unternehmensinhaber,URBANCONCEPT
Professional,Sales,Account Manager,Nederlandse Drogisterij Service & Holland Pharma
Director,Other,Director OpenValue Amsterdam,OpenValue
Senior,Customer Support,Senior Customer Care Representative,FedEx
Management,Information Technology,CTO,VORWERK ELEKTROWERKE GMBH & CO.KG
Professional,Other,Group Design Strategy & -targets,BMW Group
Management,Other,CEO,vsonix GmbH
Management,Other,Managing Director,CPS Anwendungsberatung für die Wellpappenindustrie
Senior,Other,Senior Audit Associate,KPMG Austria
Lead,Consulting,Lead consultant,SCALES Group A/S
Management,Other,Geschäftsführender Gesellschafter,123BAG GmbH
Lead,Information Technology,Head of IT Services & Operations Management,JACOB Group
Lead,Information Technology,Teamleader IT Operations Management,hGears
Professional,Sales,Vertrieb,N+S Bürocenter
Senior,Information Technology,Technischer Experte für Stellwerkstechnik,Siemens
Professional,Human Resources,HR-Manager,HvS-Consulting AG
Lead,Other,Operation Supervisor,TAV Operation Services
Management,Other,Geschäftsführer,MorgenFund
Professional,Other,Konstrukteur,Bosch
Lead,Information Technology,Projektleiter in der Engineering IT,Daimler Buses GmbH
Professional,Other,Sales & Marketing Management,Evidentia bv
Professional,Information Technology,Ruby Fullstack Developer,blueReport (cognita AG)
Management,Other,CEO,Fischer-Plastik GesmbH
Senior,Project Management,Chef de projet senior,EQUANS France
Lead,Other,Country Manager Czech Republic and Slovakia,Adform
Management,Other,Geschäftsführer,Yatego GmbH
Management,Other,Group CEO,AYRES Composite Panels
Director,Other,"Director, Finance and Information Technology",Thames Valley Children's Centre
Lead,Other,Bergungsleiter,Abschleppdienst Potsdam Nord Süd gmbh
Management,Other,Co-CEO,Yorizon Cloud
Senior,Other,Aircraft Physical Security Expert,Airbus
Management,Other,General Manager,BASF
Lead,Consulting,Head of Regulatory Projects,FNZ Bank SE
Management,Other,Owner,GBOH Technology
Professional,Other,Financial Analyst,Syrena Real Estate
Senior,Other,Mentor,Tandem 50
Professional,Sales,Vertriebsingenieur,Interstarch
Management,Other,Vorstandsmitglied,Westfälisches Energieinstitut
Lead,Administrative,Vedoucí pobočky Popůvky,Liebherr Group
Lead,Information Technology,Lead engineer/ groepscoordinator,Strukton
Management,Other,Geschäftsfüherer,Raff Sanitär GmbH
Lead,Other,"Dezernat für Wirtschaft, Stadtentwicklung, Liegenschaften und Ordnungswesen - Büroleitung/Referent",Landeshauptstadt Mainz
Senior,Information Technology,Senior Enterprise IT Systems Specialist,CETIN Serbia
Junior,Other,Vikar,Botilbuddet Katrinebjerg
Management,Other,General Manager,Rescop
Management,Sales,Chief Sales Officer (CSO),"GROB Systems, Inc"
Professional,Sales,Key Account Manager,Nestlé Waters Deutschland GmbH
Professional,Other,Selbstständig,Sleeping Bird
Professional,Project Management,Project Manager,D18 Partners
Professional,Other,Enseignant,Université du Maine-Le Mans-Laval
Senior,Sales,Senior Account Manager Public Sector,Eviden
Senior,Consulting,Senior Consultant Procurement Excellence,ThyssenKrupp AG
Professional,Other,Rechtsanwalt,Anwaltskanzlei Heinemann
Professional,Customer Support,Commercial Service Manager,Wipotec
Lead,Project Management,Head of CapEx Delivery Management and Planning Site Leverkusen,Bayer
Professional,Other,Quality Manager,Letec-Terem
Senior,Information Technology,Senior IT-Lizenzspezialist,Bechtle Schweiz AG
Director,Business Development,Strategy Director,Sodexo Defence (UK)
Management,Other,Unternehmensinhaber,Richnerstutz AG
Management,Other,Unternehmensinhaber,doxx GmbH
Management,Other,Managing Director,AWEX
Director,Marketing,Director Commercial Operations,EMEA Business Group
Lead,Information Technology,Betriebsleiter API-Produktion,Roche Pharmaceuticals
Professional,Human Resources,Human Resources Specialist,RACE FX LIMITED
Professional,Other,49504,BAUKING AG
Professional,Other,Family Nurse Practitioner,PATTON STATE HOSPITAL
Lead,Information Technology,Global Chief Engineer / Manager - Power Electronics (OBC/DCDC),Stellantis
Management,Other,Inhaber rido gmbh,rido gmbh
Professional,Consulting,SAP Solutions Consultant,All for One Switzerland AG
Senior,Other,Senior Treasury Manager,LR Global Holding GmbH
Senior,Consulting,Senior Consultant,Randstad Deutschland
Professional,Consulting,Freelance Marketing Consulting / Client Service / Interim Marketing & Branding,Alexander Klaus Freelance- & Interims- Marketing Consulting
Management,Project Management,VP Product Management,Anyline
Senior,Information Technology,Senior Manager Product Development,VON ARDENNE GmbH
Professional,Other,Progettista Finanza Agevolata - Research Funding & Administration,Masmec S.p.A.
Senior,Information Technology,Software Engineer IV,Oracle
Lead,Marketing,Communications Coordinator,Whitefish Lake First Nation #459
Lead,Information Technology,Head of ICT,Australian Museum
Management,Other,Managing Director,aquantus gmbh
Lead,Other,Responsable,OCB RENOV
Lead,Sales,Head of Sales DACH,PREO Software AG
Management,Business Development,Partner,IBM
Professional,Consulting,Application Consultant,Uhlmann Pac-Systeme
Management,Business Development,Partner,Oppskvær AS - for team som må lykkes
Professional,Other,Postdoctoral Researcher and Lecturer,Technische Universität Kaiserslautern
Professional,Purchasing,Purchasing Manager,Benchmark Electrical Solutions
Professional,Other,Postdoctoral Research Fellow,University of New Brunswick
Professional,Purchasing,Strategic Purchasing Manager • Group Purchasing,Schleuniger Global
Professional,Human Resources,Konsult HR,Egen verksamhet
Lead,Human Resources,Leiter Vergütung & Versorgung,Oldenburgische Landesbank AG
Professional,Project Management,Produktmanager Optomechanik,Vision Lasertechnik für Forschung und Industrie GmbH
Management,Other,Senior Vice President,LPL Financial
Professional,Other,Clinical Physicist,Beeldvorming MUMC+
Professional,Other,Arbeitslos,keine Angabe
Senior,Other,"Senior Lecturer, Education-Focused",UNSW
Director,Sales,Director of Sales & Marketing,NEIS Collective
Professional,Other,Master Data & Demand Manager Supply Chain Management,KALORIMETA GmbH
Lead,Sales,Verkaufsleitung,Gaugler & Lutz GmbH & Co.KG
Professional,Customer Support,Platform Support Direct Drive,Siemens Gamesa
Professional,Human Resources,Recruitment Manager,ErgaNet
Management,Sales,"Vice President, National Sales Manager",Schwab Retirement Plan Services
Management,Other,Geschäftsführer SPIE GfT GmbH,SPIE Deutschland & Zentraleuropa
Professional,Other,Professor,University of Tuebingen
Lead,Marketing,Head of Marketing Technology (Teamlead),Helios Kliniken GmbH
Professional,Other,AUTOMATICIEN ELECTRICIEN,Saint-Gobain Isover
Management,Other,General Manager,CCL Label
Professional,Marketing,Grafikdesigner (Freelance),marcoloeschdesign
Lead,Human Resources,Account Manager & Talent Acquisition Lead,SaiVa SysTem – a CMMI Level III Company
Management,Other,Geschäftsführender Gesellschafter,Selbstständig
Professional,Information Technology,Maintenance & Engineering Manager,Domtar
Management,Other,Mitglied des Aufsichtsrats,Christmann & Pfeifer GmbH & Co.
Professional,Other,Researcher,AI in Complex Systems Lab - CEHC - UAlbany
Lead,Other,Schornsteinfeger Meisterbetrieb,Wagener
Senior,Information Technology,Senior UX Designer,Europris
Professional,Consulting,Cloud Advisory Analyst,Accenture DACH
Lead,Information Technology,Leiter Managed IT | Cloud Services,MSH Medien System Haus GmbH & Co. KG
Senior,Project Management,Senior Manager B2B Contract & Implementation Management,Magenta Telekom
Professional,Information Technology,Research Development Group Manager,Automotive Lighting
Lead,Other,Head of accounting and tax department,Pirelli Deutschland GmbH
Management,Other,Vorstandsmitglied,Genossenschaft Neubühl
Professional,Other,Juristin,Datenschutz
Lead,Project Management,Projektleiter,Rudolf Klaschka GmbH
Lead,Purchasing,Head of Procurement,Det Danske Madhus
Management,Information Technology,Ägare & affärsområdeschef IT (CTO),BLOX IT AB
Professional,Other,HGF,Hotel An der Philharmonie GmbH
Management,Information Technology,Managing Director (CTO),Validatis
Senior,Other,Senior Manager,Robert Bosch GmbH
Senior,Information Technology,Cyber Security Analyst - Senior,"Tyto Athene, LLC"
Senior,Purchasing,Purchasing Senior Manager,TRW
Management,Business Development,Partner,Arcadia
Management,Other,Managing Director,InfoCom GmbH
Management,Marketing,"Vorstandsassistent, CMO",CONSTANT AG
Management,Other,Co-Founder and CEO,Elevate Advertising
Lead,Project Management,Sub-Manager Coordination & Planning,Airbus Helicopters
Management,Other,Geschäftsführer (CEO),Blaser Group
Professional,Other,Vakbekwaam Hovenier,Van Dijk Tuinen
Professional,Sales,Verkaufsmanager,RMS Radio Marketing Service GmbH & Co. KG
Management,Other,Co-Executive Director,Conseil International d'Études Francophones (CIEF)
Professional,Human Resources,HR Specialist Personnel Development,DB - DEUTSCHE BAHN AG
Director,Other,Directeur,Inno and Co
Senior,Human Resources,Senior Executive in L&D Department,Wow! Momo
Professional,Other,Finance and HR,Vacon srl
Management,Other,Geschäftsführer + Berater + Designer,"FZEY GmbH – Frohe Zukunft, ey!"
Junior,Other,PHD Student,Johann Wolfgang Goethe-Universität Frankfurt am Main
Professional,Other,Dozent,Zürcher Hochschule der Künste
Professional,Other,"AVP, Dental Quality & Clinical Oversight",MetLife
Management,Other,Vorstandsvorsitzender der Kick-Media AG,Kick-Media AG
Junior,Other,Administrateur suppléant/ Membre des Commissions Marchés / Relations avec le Public / CTR2,Carsat Sud-Est
Lead,Human Resources,"Gesamtleiterin Personal, Mitglied der Geschäftsleitung",Neue Pressegesellschaft
Management,Business Development,Partner,The Strategy Group
Lead,Administrative,Responsable de salle,HOTEL - RESTAURANT L OURS DE MUTZIG
Professional,Consulting,Special Education Advocate/Education Consultant,"Svendsen and Associates, LLC"
Management,Other,CEO & Co-Founder,GEMELLii Drinks GmbH
Lead,Project Management,Bauprojektleiter,Johannes-Diakonie Mosbach
Management,Other,Owner,Stefan Wulff AB
Professional,Consulting,Systemischer Berater für Organisationsentwicklung und Coach,Ingo Wolters
Management,Other,General Manager/Vice President of Planning,Cosmetix West
Senior,Human Resources,Senior Diversity & Inclusion Partner,"Novartis, P&O Switzerland"
Management,Other,Managing Director,Weber Management Solutions
Lead,Other,Key Account / Project Manager,Werimo Group
Management,Other,Owner,Grubers Beckett
Senior,Sales,Senior Commercial Manager,Klarna
Management,Information Technology,Executive Vice President Connected Software Systems & Services,IAV
Lead,Sales,"Abteilungsleiter Vertrieb, Dipl. Bankbetriebswirt Management (ADG)",Hausbank München eG
Professional,Consulting,HR IT Consultant,Continental
Management,Other,CEO,Sinosteel-Tech
Professional,Administrative,Bestuursassistent,Gemeente Arnhem
Senior,Information Technology,Senior Data Analyst,instagrid
Professional,Consulting,"Utbildare och konsult inom organisation, ledarskap och projektledning",Winkler Organisationsutveckling AB
Junior,Other,Trainee Solicitor,Irwin Mitchell
Management,Other,Managing Director,Reinvigorate Group
Management,Other,Chief Operating Officer,Verna
Management,Other,Geschäftsführer Bergauer-Logistic,Selbständig
Senior,Information Technology,Senior Technology Architect,Infosys
Director,Other,Director Of Food And Beverage,InterContinental Hotels Group (IHG®)
Senior,Other,Managing Sr. Underwriting Director,John Hancock
Lead,Other,Head of Business Unit Finance | Executive Vice President,msg global solutions
Lead,Administrative,Facility Coordinator CBRE GWS GmbH,CBRE GWS GmbH
Professional,Other,Member,Institute of Corporate Directors Malaysia (ICDM)
Junior,Other,Associate,Brunswick Group
Professional,Purchasing,Buyer,Action Sales Food Service Equipment & Supplies
Professional,Customer Support,Warranty Service Specialist,Leatherman Tool Group
Professional,Human Resources,HR - Talent Manager,Cognizant
Director,Sales,Senior Director of Sales & SDR Germany,vialytics
Professional,Other,Addetto alla logistica,GLS
Management,Other,CEO,Xsenses GmbH
Management,Other,Chief Operating Officer,Greeneeng
Professional,Administrative,Office Administrator,eccoform production GmbH
Lead,Sales,Regionaler Vertriebsleiter,DEWESoft Deutschland GmbH
Professional,Other,Portfolio Manager,Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH
Management,Other,Inhaber,Innocard Loyalty AG
Professional,Information Technology,Technical Development Manager - Interconnect,"TTI, Inc. - Europe"
Management,Business Development,Partner und VRP,Wälchli und Partner AG
Management,Other,Vice President,Winning BLW Group
Management,Other,Chief Executive Officer,Quest Equity
Professional,Information Technology,Programmierer,Einzelunternehmen
Professional,Consulting,Global Mobility Consultant,Krones
Professional,Other,"Facharzt für Orthopädie und Unfallchirurgie,Chirurgie Chirotherapie, , Naturheilverfahren",Privatpraxis für Orthopädie und Naturheilverfahren
Lead,Project Management,Qualitätsmanager,Smurfit Westrock
Management,Other,CEO,"Mimetics, LLC"
Senior,Other,Senior Manager,ALDI Nord
Professional,Other,DayTrader,Selbstständig
Management,Purchasing,VP Purchasing & Supplier Quality Webasto China,Webasto Group
Professional,Project Management,Equipment Project Manager,Clark National Accounts
Professional,Other,"lian da information technology co., LTD","Kunshan lian da information technology co., LTD"
Management,Other,Business Owner,Washington's Best Guides LLC
Management,Other,Geschäftsführer - CEO,CROWDFOX GmbH
Professional,Business Development,EVP Strategic Partnerships,10X Health System
Senior,Other,Senior HVAC Technician,Service Experts Heating & Air Conditioning
Management,Other,Non Executive Director - Member of the Supervisory Board,AkzoNobel
Professional,Administrative,Bauverwaltung,Gemeinde Langgöns
Professional,Other,Rechtsanwalt mit Schwerpunkt Gen-/Biotechnik und Arzneimittelrecht,Freiberuflich
Professional,Other,Sports Columnist,The Seattle Times
Professional,Consulting,Managing Consultant - Business Transformation,IBM Switzerland Ltd.
Management,Other,CEO,BACHMANN Group
Management,Other,Vorsitzender der Aufsichtsräte Mecklenburgische Versicherungen,Mecklenburgische Versicherungsgruppe
Junior,Other,Junior Referent Landesförderinstitute,KfW
Management,Other,Founder,Carlo Chincarini Coaching
Professional,Other,Member,Partnership Leaders
Professional,Consulting,Public Health Consultant,GFA Consulting Group GmbH
Lead,Sales,Vertriebsleiter,Yve!decoration GmbH
Lead,Information Technology,DevSecOps CoE Lead,Nokia
Management,Marketing,Executive Vice President Digital Customer Solutions,RATIONAL AG
Senior,Other,Senior Financial Crimes Investigator,NASA Federal Credit Union
Professional,Project Management,Projektmanager Therapieberufe,Georg Thieme Verlag KG
Professional,Information Technology,Qualitätsicherung,Kernkraftwerk Gösgen-Däniken AG
Professional,Marketing,Referent Digitale Schiene,DB Engineering & Consulting
Director,Project Management,Director Projects,Orange Lion Hospitality Consulting Sagl.
Management,Other,Geschäftsführer / General Manager,LASER COMPONENTS
Management,Business Development,Managing Partner,Engel & Völkers Hotel Consulting GmbH
Professional,Other,Diatary Aide,Greenwood Health and Living
Professional,Consulting,Consultant,Freelance
Professional,Other,Research Analyst,zeb consulting
Senior,Consulting,Senior Consultant Data Center,Siemens AG
