position,seniority,department
it consultant & solution architekt,Professional,Information Technology
senior vice president global supplier management,Senior,Business Development
sr. international agent,Junior,Customer Support
manager  hr ops & talent acquisition,Senior,Other
ceo,Senior,Other
production engineer,Senior,Other
quality engineering manager,Senior,Other
vertriebsleiter,Management,Sales
produktmanager,Junior,Other
partner und inhaber,Professional,Other
senior advisor,Senior,Consulting
hockey coach,Junior,Other
quality assurance manager   quality contract managment   gmp auditor,Senior,Other
svp transformation & strategy,Management,Business Development
"director, sales unit benelux",Senior,Sales
strategischer einkäufer,Management,Purchasing
vp market intelligence   business development   sales,Senior,Business Development
director   project implementation manager,Senior,Other
aktionär,Senior,Other
werkstudent facheinkauf interieur,Junior,Purchasing
account director,Management,Sales
head teacher in art,Junior,Other
chef,Junior,Other
geschäftsführer,Management,Other
general manager,Management,Other
spa concierge,Junior,Customer Support
geschäftsführender gesellschafter,Management,Other
account manager,Management,Sales
head of digital radio design,Senior,Information Technology
assistent,Junior,Customer Support
managing partner,Senior,Other
global product marketing manager,Senior,Marketing
produktingenieur,Senior,Other
vorstand   ceo bei eberhard ag,Senior,Other
projektingenieur,Senior,Other
chairman,Senior,Other
geschäftsführender gesellschafter,Management,Other
svp 3ds solutions cenit group,Senior,Sales
senior vice president apac,Senior,Business Development
ceo co owner,Senior,Other
business strategy consultant,Senior,Consulting
managing director,Senior,Other
recreation manager,Management,Customer Support
stiftungsrat,Management,Other
projektplaner,Junior,Other
senior manager,Senior,Other
information technology specialist  itcs,Management,Information Technology
geschäftsführender inhaber,Management,Other
gebietsverkaufsleiterin implantologie & prothetik,Senior,Other
vice president,Senior,Other
senior vice president,Senior,Business Development
platin,Junior,Other
executive partner development manager,Senior,Other
departementssekretär   leiter amt für militär und bevölkerungsschutz,Management,Administrative
ceo,Senior,Other
partner,Professional,Other
chief executive officer,Senior,Other
arbeitssuche,Junior,Administrative
managing director,Senior,Other
head of global competence center mo bo acc business analysis,Senior,Project Management
alleiniger vorstand,Senior,Other
senior software engineer,Senior,Information Technology
seminar staff,Junior,Other
projektleiter,Senior,Project Management
leiter program management radar,Senior,Project Management
geschäftsführer,Management,Other
pharmacy sales representative,Junior,Sales
bereichsleiter rechnungswesen und finanzen,Senior,Other
"geschäftsleitung, prokurist",Management,Other
sales manager,Senior,Sales
industrial engineer,Junior,Other
pflegedienstleitung,Senior,Other
principal consultant,Senior,Consulting
"projektexperte sicherheit, geschäftsleitung",Senior,Other
solution designer,Senior,Information Technology
founder  owner,Senior,Other
human resources manager,Management,Human Resources
regional manager,Management,Other
head of hybrid cloud solution sales germany,Senior,Sales
director   global banking,Senior,Other
doctoral student,Junior,Other
project manager entwicklung  lebensmittel,Senior,Project Management
consultant,Junior,Consulting
team lead business services,Management,Other
ceo & co founder,Senior,Other
juristischer berater,Junior,Other
"leitung personal, finanzen, einkauf, it | folkwang universität der künste",Senior,Other
